"Subject";"Class";"Strand";"Strand Unit";"Content Objectives";"Further Information";;;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Líníocht";"Líníochtaí a dhéanamh";"gréas agus mionsonraí airgtheacha a úsáid chun téamaí samhlaíocha a líniú";"pleananna a dhearadh agus a sceitseáil le haghaidh tionscadail thríthoisigh";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Líníocht";"Líníochtaí a dhéanamh";"líníocht bunaithe ar bhreathnú a dhéanamh";"leagan amach nithe neamhbheo ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Líníocht";"Líníochtaí a dhéanamh";"líníocht bunaithe ar bhreathnú a dhéanamh";"gnéithe sa timpeallacht mar a fheictear iad ó áiteanna difriúla";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Líníocht";"Líníochtaí a dhéanamh";"líníocht bunaithe ar bhreathnú a dhéanamh";"lorgán radhairc (nó fuinneog seomra ranga) a úsáid chun rudaí a shuíomh nó chun spás a shainiú ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Líníocht";"Líníochtaí a dhéanamh";"líníocht bunaithe ar bhreathnú a dhéanamh";"an fhíor dhaonna (m.sh. páiste eile sa rang i suíomh ar leith) ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Líníocht";"Líníochtaí a dhéanamh";"líníocht bunaithe ar bhreathnú a dhéanamh";"mionsonraí na fíorach daonna (m.sh. portráid de pháiste eile sa rang)";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Líníocht";"Líníochtaí a dhéanamh";"triail a bhaint as marcanna";" as línte";" as cruthanna";" as uigeacht agus as toin a dhéanamh le huirlisí éagsúla líníochta ar raon de dhromchlaí";"de réir mar is cuí";" líne";" ton";" uigeacht";" gréas a léirmhíniú trí chriáin";" phinn luaidhe boga";" ghualach";" chailceanna";" pháipéir uigeacha agus fhabraicí a úsáid"
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Líníocht";"Líníochtaí a dhéanamh";"triail a bhaint as marcanna";" as línte";" as cruthanna";" as uigeacht agus as toin a dhéanamh le huirlisí éagsúla líníochta ar raon de dhromchlaí";"ríomhchlár ealaíne a úsáid chun triail a dhéanamh le marcanna";" línte";" cruthanna";" gréasa agus rithim";;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Líníocht";"Líníochtaí a dhéanamh";"líníochtaí bunaithe ar a s(h)aol pearsanta nó ar a s(h)aol samhlaíoch a dhéanamh agus tuiscint fhorásach ar choibhneasa spásúlacha a léiriú iontu";"cairde ag scipeáil";" ag imirt liathróide";" ag rith sa chlós ";;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Líníocht";"Líníochtaí a dhéanamh";"líníochtaí bunaithe ar a s(h)aol pearsanta nó ar a s(h)aol samhlaíoch a dhéanamh agus tuiscint fhorásach ar choibhneasa spásúlacha a léiriú iontu";"téamaí samhalta bunaithe ar fhantaisíocht agus ar dhraíocht";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Líníocht";"Líníochtaí a dhéanamh";"iniúchadh a dhéanamh ar chruth in ábhair nádúrtha agus in ábhair shaothraithe agus bheith feasach ar chruth na scáileanna a dhéanann rudaí";"líníochtaí d'imlínte rudaí simplí a dhéanamh ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Líníocht";"Líníochtaí a dhéanamh";"iniúchadh a dhéanamh ar chruth in ábhair nádúrtha agus in ábhair shaothraithe agus bheith feasach ar chruth na scáileanna a dhéanann rudaí";"cruthanna rudaí agus a scáileanna a tharraingt";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Líníocht";"Líníochtaí a dhéanamh";"líníocht bunaithe ar bhreathnadóireacht a dhéanamh";"raon d'earraí nádúrtha agus d'earraí saothraithe ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Líníocht";"Líníochtaí a dhéanamh";"líníocht bunaithe ar bhreathnadóireacht a dhéanamh";"(m.sh. crann";" duilleog";" bláth";" toradh";" glasra";" rudaí grúpáilte ar sheilfeanna nó ar bhoird taispeána) ";;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Líníocht";"Líníochtaí a dhéanamh";"líníocht bunaithe ar bhreathnadóireacht a dhéanamh";"páiste eile sa rang";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Líníocht";"Líníochtaí a dhéanamh";"triail a bhaint as marcanna";" línte";" cruthanna";" uigeacht";" gréasa agus toin dhifriúla a dhéanamh ar raon de dhromchlaí le huirlisí líníochta éagsúla";"grinnbhreathnú ar ábhair a roghnaíodh go speisialta agus tréithe líne";" crutha";" toin";" uigeachta";" solais agus dorchadais a fhionnachtain ";;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Líníocht";"Líníochtaí a dhéanamh";"triail a bhaint as marcanna";" línte";" cruthanna";" uigeacht";" gréasa agus toin dhifriúla a dhéanamh ar raon de dhromchlaí le huirlisí líníochta éagsúla";"díriú";" oiread agus is cuí";" ar líníocht imlíneach";" ar chruth";" ar thon";" ar uigeacht";" ar ghréas agus ar rithim ";
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Líníocht";"Líníochtaí a dhéanamh";"triail a bhaint as marcanna";" línte";" cruthanna";" uigeacht";" gréasa agus toin dhifriúla a dhéanamh ar raon de dhromchlaí le huirlisí líníochta éagsúla";"ríomhchlár ealaíne a úsáid chun íomhánna a chruthú agus a mhionathrú agus chun ceapachán a leagan amach";;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Líníocht";"Líníochtaí a dhéanamh";"líníochtaí bunaithe ar eispéiris mheabhruithe a dhéanamh agus béim a chur ar ghréas";" ar mhionsonraí";" ar chomhthéacs agus ar shuíomh";"bheith in áit aithnidiúil ";;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Líníocht";"Líníochtaí a dhéanamh";"líníochtaí bunaithe ar eispéiris mheabhruithe a dhéanamh agus béim a chur ar ghréas";" ar mhionsonraí";" ar chomhthéacs agus ar shuíomh";"caitheamh aimsire agus cluichí";;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Líníocht";"Líníochtaí a dhéanamh";"a s(h)aol samhalta a léiriú agus téamaí samhalta a léirmhíniú trí fheidhm a bhaint as gréas airgtheach agus mionsonraí";"scéalta";" dánta";" amhráin";" daoine ";;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Líníocht";"Líníochtaí a dhéanamh";"a s(h)aol samhalta a léiriú agus téamaí samhalta a léirmhíniú trí fheidhm a bhaint as gréas airgtheach agus mionsonraí";"samhailteacha ";" áiteanna";" ainmhithe agus ábhair";;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Líníocht";"Líníochtaí a dhéanamh";"líníocht bunaithe ar bhreathnóireacht a dhéanamh";"leagan amach de nithe neamhbheo";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Líníocht";"Líníochtaí a dhéanamh";"líníocht bunaithe ar bhreathnóireacht a dhéanamh";"leagan amach de nithe neamhbheo le cúlra samhailteach ";;;;;;;;;;;
