"Subject";"Class";"Strand";"Strand Unit";"Content Objectives";"Further Information";;;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Péinteáil";"dath a iniúchadh trí fheidhm a bhaint as raon d'uirlisí líníochta";" de mhéain agus de theicníochtaí dathaithe";"péint";" criáin";" pastail ola nó chailce";" cailceanna";" dúigh";" pinn luaidhe daite";" pinn le bioranna feilte nó snáithín ";;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Péinteáil";"dath a iniúchadh trí fheidhm a bhaint as raon d'uirlisí líníochta";" de mhéain agus de theicníochtaí dathaithe";"prionta";" appliqué";" colláis";" toin a úsáid i mosáic ar scála beag";;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Péinteáil";"pictiúir bunaithe ar mhothúcháin agus ar eispéiris mheabhraithe a dhéanamh agus slite chun maisíochtaí spásúlacha a bhaint amach a fhionnachtain";"téamaí a roghnaíodh i ngeall ar a bhféidearthachtaí datha agus a léiríonn leathnú éispéiris agus spéise a léirmhíniú ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Péinteáil";"pictiúir bunaithe ar mhothúcháin agus ar eispéiris mheabhraithe a dhéanamh agus slite chun maisíochtaí spásúlacha a bhaint amach a fhionnachtain";"triail a bhaint as dath agus as ton";" as dathanna teolaí agus fionnuara";" as rádalú agus as peirspictíocht bhunúsach aerga agus líneach a úsáid";;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Péinteáil";"a s(h)aol samhlaíoch a chur in iúl agus téamaí samhlaíocha a léirmhíniú trí dhath a úsáid go lánléiritheach";"scéalta agus dánta; scéalta atmaisféaracha drámata eachtraíochta ina measc";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Péinteáil";"a s(h)aol samhlaíoch a chur in iúl agus téamaí samhlaíocha a léirmhíniú trí dhath a úsáid go lánléiritheach";"páistí eile sa rang mar shamplaí chun an t-aicsean a léirmhíniú";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Péinteáil";"líníocht bunaithe ar bhreathnóireacht a dhéanamh";"cóiriúcháin de dhathanna dá rogha féin a shocrú agus a phéinteáil ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Péinteáil";"líníocht bunaithe ar bhreathnóireacht a dhéanamh";"gnéithe den timpeallacht mar a fheictear iad ó ionaid dhifriúla ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Péinteáil";"líníocht bunaithe ar bhreathnóireacht a dhéanamh";"feidhm a bhaint as lorgán radhairc chun rudaí a áitiú nó chun spás a shainniú agus dath agus ton a úsáid chun maisíochtaí spásúlacha a chruthú ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Péinteáil";"líníocht bunaithe ar bhreathnóireacht a dhéanamh";"an fhíor dhaonna nó grúpaí d'fhíoracha i suíomh ar leith";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Péinteáil";"líníocht bunaithe ar bhreathnóireacht a dhéanamh";"ag seinm i mbanna ceoil";" mainicíneacht faisean";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Péinteáil";"líníocht bunaithe ar bhreathnóireacht a dhéanamh";"portráid de pháiste eile sa rang i dtoin dhifriúla de dhath amháin";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Péinteáil";"a bheith íogaireach do dhifríochtaí níos fíneálta datha agus do thoin éagsúla in earraí nádúrtha agus in earraí saothraithe";"nithe amharcspéisiúla a bhreathnú agus iarracht a dhéanamh na teaglamaí datha a chóipeáil ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Péinteáil";"a bheith íogaireach do dhifríochtaí níos fíneálta datha agus do thoin éagsúla in earraí nádúrtha agus in earraí saothraithe";"gearrthóga irisleabhar a úsáid chun meascadh dathanna a chleachtadh";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Péinteáil";"comhréiteach agus codarsnacht a fhionnachtain in earraí nádúrtha agus in earraí saothraithe agus trí théamaí a roghnaíodh i ngeall ar a bhféidearthachtaí datha";"dathanna a mheascadh agus a chur le hais a chéile chun a fháil amach mar a réitíonn siad le chéile";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Péinteáil";"gréas agus rithim a fhionnachtain in earraí nádúrtha agus in earraí saothraithe";"dathanna comhlántacha agus dathanna comhchuí";" línte";" uigeacht agus cruthanna éagsúla a athchóipeáil agus a athrú";;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Péinteáil";"an coibhneas idir mothú rudaí agus cuma rudaí a iniúchadh";"uigeacht a fhionnachtain in earraí nádúrtha agus in earraí saothraithe ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Péinteáil";"an coibhneas idir mothú rudaí agus cuma rudaí a iniúchadh";"uigeacht i ndath";" i dton agus i meáin mheasctha a léirmhíniú";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Péint agus dath";"Péinteáil";"dath a iniúchadh le raon d'ábhair agus de mheáin";"péint";" criáin";" cailceanna";" pinn luaidhe daite";" pinn le bioranna feilte nó snáithín";;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Péint agus dath";"Péinteáil";"dath a iniúchadh le raon d'ábhair agus de mheáin";"prionta";" colláis";" fabraic agus snáithín ";;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Péint agus dath";"Péinteáil";"dath a iniúchadh le raon d'ábhair agus de mheáin";"ríomhchlár ealaíne a úsáid chun triail a bhaint as dath agus chun íomhánna a chumadh";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Péint agus dath";"Péinteáil";"téamaí bunaithe ar a s(h)aol pearsanta nó ar a s(h)aol samhlaíoch a léirmhíniú trí dhath a úsáid go lánléiritheach";"?ócáidí ar leith roghnaithe as scéalta";" as dánta";" as amhráin agus as ceol ";;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Péint agus dath";"Péinteáil";"téamaí bunaithe ar a s(h)aol pearsanta nó ar a s(h)aol samhlaíoch a léirmhíniú trí dhath a úsáid go lánléiritheach";"cad a d'fhéadfadh tarlú sa scéal ansin";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Péint agus dath";"Péinteáil";"ábhair";" a roghnófaí i ngeall ar na féidearthachtaí datha a bhainfeadh leo";" a phéinteáil";"bláthanna agus ábhair eile ón mbord dúlra ";;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Péint agus dath";"Péinteáil";"ábhair";" a roghnófaí i ngeall ar na féidearthachtaí datha a bhainfeadh leo";" a phéinteáil";"bréagáin le sonraí cúlra samhailteacha";;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Péint agus dath";"Péinteáil";"dath a fhionnachtain san amharcthimpeallacht agus bheith íogaireach d'athruithe toin idir geal agus dubh agus d'athruithe i bhfíordhath (lí)";"dath agus ton a aithint trí théamaí a roghnaítear i ngeall ar a bhféidearthachtaí datha (m.sh. spéir ghrianmhar/stoirmiúil)";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Péint agus dath";"Péinteáil";"chomhréiteach agus codarsnacht a aithint in earraí nádúrtha agus in earraí saothraithe agus trí théamaí a roghnófaí i ngeall ar a bhféidearthachtaí datha";"gnéithe a dhuaithníonn ina dtimpeallacht agus iad sin nach nduaithníonn ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Péint agus dath";"Péinteáil";"chomhréiteach agus codarsnacht a aithint in earraí nádúrtha agus in earraí saothraithe agus trí théamaí a roghnófaí i ngeall ar a bhféidearthachtaí datha";"cluichí datha agus crutha bunaithe ar dhuaithníocht";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Péint agus dath";"Péinteáil";"dath";" gréas agus rithim a fhionnachtain in earraí nádúrtha agus in earraí saothraithe agus iad a léirmhíniú ina c(h)uid oibre";"dathanna comhlántacha a úsáid arís agus arís eile chun éagsúlacht bhreise a chur lena c(h)uid oibre";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Péint agus dath";"Péinteáil";"an coibhneas idir mothú agus cuma rudaí a iniúchadh";"uigeacht in earraí nádúrtha agus in earraí saothraithe ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Péint agus dath";"Péinteáil";"an coibhneas idir mothú agus cuma rudaí a iniúchadh";"garbh";" réidh";" cnapánach";" biorach";" clúmhach ";;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Péint agus dath";"Péinteáil";"an coibhneas idir mothú agus cuma rudaí a iniúchadh";"roinnt díobh seo a léiriú i ndath agus i dton ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Péint agus dath";"Péinteáil";"an coibhneas idir mothú agus cuma rudaí a iniúchadh";"uigeacht uachtair agus uigeacht chraptha a chruthú";;;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Péinteáil";"dath a iniúchadh le raon d'ábhair agus de mheáin";"péint";" criáin";" pastail ola nó cailce";" pinn luaidhe daite agus pinn le bioranna feilte nó snáithín ";;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Péinteáil";"dath a iniúchadh le raon d'ábhair agus de mheáin";"prionta";" colláis bheaga ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Péinteáil";"dath a iniúchadh le raon d'ábhair agus de mheáin";"ríomhchlár ealaíne a úsáid chun turgnaimh a dhéanamh faoi thionchair dhathanna teolaí agus dhathanna fionnuara";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Péinteáil";"pictiúir bunaithe ar mhothúcháin agus ar eispéiris mheabhraithe a dhéanamh agus tionchair spásúlacha dhatha agus thoin a iniúchadh";" rádalú a úsáid agus roinnt tuisceana ar scála a léiriú";"rudaí a tharla ina s(h)aol féin le déanaí";" a bhfuil cuimhne ghlé aige/aici orthu agus a raibh dlúthbhhaint aige/aici leognátháiteanna aithnidiúla";;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Péinteáil";"a s(h)aol samhalta a chur in iúl agus téamaí samhalta a léirmhíniú trí dhath a úsáid go lánléiritheach";"scéalta";" dánta";" amhráin";" ceol ";;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Péinteáil";"a s(h)aol samhalta a chur in iúl agus téamaí samhalta a léirmhíniú trí dhath a úsáid go lánléiritheach";"an chéad rud eile d'fhéadfadh titim amach i scéal eachtraíochta ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Péinteáil";"a s(h)aol samhalta a chur in iúl agus téamaí samhalta a léirmhíniú trí dhath a úsáid go lánléiritheach";"ghrúpa-pictiúir ar scála mór a dhéanamh a leíríonn pearsana nó gnéithe scéalta";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Péinteáil";"péinteáil bunaithe ar bhreathnóireacht";"grinndearcadh a dhéanamh chun teaglama fíneálta datha a aithint in earraí nádúrtha agus in earraí saothraithe ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Péinteáil";"péinteáil bunaithe ar bhreathnóireacht";"pictiúir mhóra a dhéanamh ina leagtar béim ar dhath";" ar thon";" ar uigeacht";" ar chruth";" ar rithim ";;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Péinteáil";"péinteáil bunaithe ar bhreathnóireacht";"an fhíor dhaonna agus aicsean á léiriú ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Péinteáil";"péinteáil bunaithe ar bhreathnóireacht";"portráidí de pháistí eile sa rang ag cur staidiúir orthu féin le haghaidh gníomhaíochtaí éagsúla";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Péinteáil";"dath a fhionnachtain san amharcthimpeallacht agus éirí íogaireach do dhifríochtaí datha agus d'athruithe toin de thoradh dathanna a mheascadh";"dathanna a mheascadh chun dathanna ábhar amharcspéisiúil a chóipeáil go cruinn";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Péinteáil";"dath a fhionnachtain san amharcthimpeallacht agus éirí íogaireach do dhifríochtaí datha agus d'athruithe toin de thoradh dathanna a mheascadh";"tionchair spásúlacha dhathanna agus thon a iniúchadh trí théamaí a roghnaítear i ngeall ar a bhféidearthachtaí datha ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Péinteáil";"dath a fhionnachtain san amharcthimpeallacht agus éirí íogaireach do dhifríochtaí datha agus d'athruithe toin de thoradh dathanna a mheascadh";"dath agus ton a úsáid chun cúlionaid";" lárionaid agus réamhionaid a chruthú i gcóiriúcháin shimplí neamhbheo agus i bpictiúir de thírdhreacha agus de shráiddreacha";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Péinteáil";"comhréiteach agus codarsnacht a fhionnachtain in earraí nádúrtha agus in earraí saothraithe agus trí théamaí a roghnófaí i ngeall ar a bhféidearthachtaí datha";"scéim dhatha a dhearadh do shamhail thríthoiseach a rinne sé/sí ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Péinteáil";"comhréiteach agus codarsnacht a fhionnachtain in earraí nádúrtha agus in earraí saothraithe agus trí théamaí a roghnófaí i ngeall ar a bhféidearthachtaí datha";"cluichí measctha dathanna a imirt";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Péinteáil";"gréas agus rithim a fhionnachtain in earraí nádúrtha agus in earraí saothraithe agus iad a úsáid go feidhmiúil ina c(h)uid oibre";"feidhm a bhaint as athúsáid agus athrú dathanna codarsnacha chomh maith le saghsanna éagsúla uigeachta agus línte chun aontacht agus éagsúlacht a aimsiú i saothar";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Péinteáil";"an coibhneas idir mothú agus cuma rudaí a iniúchadh";"uigeacht in earraí nádúrtha agus in earraí saothraithe a fhionnachtain ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Péinteáil";"an coibhneas idir mothú agus cuma rudaí a iniúchadh";"saghsanna éagsúla uigeachta a cruthaíodh i ndath agus i dton agus le scríobanna éagsúla scuaibe a léirmhíniú";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Péint agus dath";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"cur síos ar a bhfuil ag tarlú sa phictiúr ";;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Péint agus dath";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"na dathanna a úsáideadh chun línte";" cruthanna agus achair gheala agus achair dhorcha a chruthú ";;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Péint agus dath";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"mar a thaitin sé leis/léi iad a dhéanamh ";;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Péint agus dath";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"mar a bhain an t-ealaíontóir feidhm as dath ";;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Péint agus dath";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"an chuid den saothar is mó a thaitníonn leis/léi";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"cur síos a dhéanamh ar a bhfuil ag titim amach sa phictiúr ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"dathanna agus toin chomhlántacha agus chomhchuí agus difríochtaí fíneálta datha";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"mar a chuirtear rithim";" gluaiseacht";" atmaisféar";" éagsúlacht";" doimhneacht spásúlach nó foirm in iúl ";;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"an idé a bhí ar intinn aige/aici féin nó ag an ealaíontóir a chur in iúl ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"mar a rinne ealaíontóirí eile an téama seo a léirmhíniú sa tslí chéanna nó i slite eile ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"mar a mhothaíonn sé/sí faoin bpictiúr";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Péint agus dath";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"an t-idirlíon nó dlúthdhiosca a úsáid chun teacht ar shaothar ealaíontóra agus chun ceisteanna cosúil leo sin thuas a fhreagairt";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Péint agus dath";"Breathnú agus freagairt";"breathnú ar a s(h)aothar féin";" ar shaothar páistí eile agus ar shaothar ealaíontóirí agus iad a phlé";"cur síos a dhéanamh ar a bhfuil ag tarlú sa phictiúr ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Péint agus dath";"Breathnú agus freagairt";"breathnú ar a s(h)aothar féin";" ar shaothar páistí eile agus ar shaothar ealaíontóirí agus iad a phlé";"na dathanna agus na toin a roghnaíodh ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Péint agus dath";"Breathnú agus freagairt";"breathnú ar a s(h)aothar féin";" ar shaothar páistí eile agus ar shaothar ealaíontóirí agus iad a phlé";"na línte";" na cruthanna";" na fabraicí agus na gréasa a cruthaíodh ";;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Péint agus dath";"Breathnú agus freagairt";"breathnú ar a s(h)aothar féin";" ar shaothar páistí eile agus ar shaothar ealaíontóirí agus iad a phlé";"an chaoi a n-eagraítear iad sa phictiúr";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Péint agus dath";"Breathnú agus freagairt";"breathnú ar a s(h)aothar féin";" ar shaothar páistí eile agus ar shaothar ealaíontóirí agus iad a phlé";"an tslí inar úsáideadh dath agus na torthaí a cruthaíodh ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Péint agus dath";"Breathnú agus freagairt";"breathnú ar a s(h)aothar féin";" ar shaothar páistí eile agus ar shaothar ealaíontóirí agus iad a phlé";"cad a bhí i gceist aige/aici féin nó ag an ealaíontóir a léiriú ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Péint agus dath";"Breathnú agus freagairt";"breathnú ar a s(h)aothar féin";" ar shaothar páistí eile agus ar shaothar ealaíontóirí agus iad a phlé";"an rud is mó a thaitníonn leis/léi sa phictiúr";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"cur síos ar a bhfuil ag titim amach sa phictiúr ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"na dathanna agus na toin a roghnaíodh ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"mar a chomhcheanglaíonn na cruthanna";" an uigeacht";" an gréas";" an rithim agus an chodarsnacht sa cheapachán ";;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"mar a úsáideadh ábhair agus uirlisí chun maisíochtaí éagsúla a chruthú agus an bhféadfaí iad a úsáid i slite eile ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"an idé a bhí in aigne aige/aici nó ag an ealaíontóir a chur in iúl ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"saothar ealaíontóirí eile a bhfuil léirmhíniú déanta acu ar an téama sa tslí chéanna nó i slí eile ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Péint agus dath";"Breathnú agus freagairt";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"mar a mhothaíonn sé/sí faoin bpictiúr";;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Prionta";"Priontaí a dhéanamh";"turgnamh leis na torthaí ab fhéidir a bhaint amach trí phriontaí simplí a dhéanamh";"le hearraí fuíll ag a bhfuil uigeacht nó cruthanna spéisiúla ";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Prionta";"Priontaí a dhéanamh";"turgnamh leis na torthaí ab fhéidir a bhaint amach trí phriontaí simplí a dhéanamh";"le dath amháin nó le dhá dhath chun béim a leagan ar uigeacht";" ar chruth agus ar ghréas";;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Prionta";"Priontaí a dhéanamh";"turgnamh leis na torthaí ab fhéidir a bhaint amach trí phriontaí simplí a dhéanamh";"tosú ar na marcanna priontála a eagrú le cuspóir cinnte ";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Prionta";"Priontaí a dhéanamh";"turgnamh leis na torthaí ab fhéidir a bhaint amach trí phriontaí simplí a dhéanamh";"conas priontaí simplí a fhorbairt a thuilleadh fós a iniúchadh (m.sh. forphriontáil)";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Prionta";"Priontaí a dhéanamh";"teicníochtaí éagsúla priontála a úsáid";"priontaí éagsúla rilífeacha a dhéanamh ";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Prionta";"Priontaí a dhéanamh";"teicníochtaí éagsúla priontála a úsáid";"trí rudaí uigeacha a bhrú isteach i leac chré ";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Prionta";"Priontaí a dhéanamh";"teicníochtaí éagsúla priontála a úsáid";"trí a m(h)arcanna féin a dhéanamh sa chré ";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Prionta";"Priontaí a dhéanamh";"teicníochtaí éagsúla priontála a úsáid";"le píosaí gearrtha nó stróicthe de pholaistiréin tanaí ";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Prionta";"Priontaí a dhéanamh";"teicníochtaí éagsúla priontála a úsáid";"triail a bhaint as slite chun samplaí de phrionta nó phriontaí a athchóipeáil agus a chomhcheangal arís agus arís ";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Prionta";"Priontaí a dhéanamh";"teicníochtaí éagsúla priontála a úsáid";"priontáil trí mhascadh ";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Prionta";"Priontaí a dhéanamh";"teicníochtaí éagsúla priontála a úsáid";"achar de dhromchla clúdaithe le dúch a mhascadh le píosaí páipéir a gearradh nó a stróiceadh de réir a d(h)earadh féin ";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Prionta";"Priontaí a dhéanamh";"teicníochtaí éagsúla priontála a úsáid";"ríomhthurgnaimh a dhéanamh le dath agus le cruth chun prionta a dhearadh";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Priontaí a dhéanamh";"taighde a dhéanamh ar raon níos coimpléascaí de theicníochtaí priontála";"mar a d'fhéadfaí priontaí simplí a fhorbairt a thuilleadh a fhionnachtain ";;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a cúig";" Rang a sé ";"Prionta";"Priontaí a dhéanamh";"taighde a dhéanamh ar raon níos coimpléascaí de theicníochtaí priontála";"forphriontáil a dhéanamh le cruthanna nó le dathanna codarsnacha ";;;;;;;;;;;
